Lab_ID,Sample_ID,Site,System_ID,SYSTEM,DEPT,depth_cm,Soil_classification,Soil_classification2,Corg_clay_ratio,CLAY_percent,SILT_percent,SAND_percent,pH,EC,Canorg,Corg,Ntot,Corg_stocks_kg_m2,Ntot_stocks_kg_m2,soilCN_ratio,DOC,DOC_stocks_g_m2,DOC_Corg_ratio,Agg,CEC,Al_Dithionite,Mn_Dithionite,Fe_Dithionite,Al_Oxalate,Mn_Oxalate,Fe_Oxalate,Oxalate_Oxides,Dithionite_Oxides,bulk_density,Fe_Di_div_Fe_Ox,Corg_stocks_kg_m2_cm,Ntot_stocks_kg_m2_cm,DOC_stocks_g_m2_cm,Log_Corg_stocks_kg_m2,Log_DOC_stocks_g_m2,Log_Ntot_stocks_kg_m2,Log_Corg_clay_ratio,Log_EC,Log_Agg,Soil_classification_num,Log_Corg_stocks_kg_m2_cm,Log_Ntot_stocks_kg_m2_cm,Log_DOC_stocks_g_m2_cm
1149,Schach2_P_3 pool,Schach2,Pioneer,0,3,15.00,Fine,Fine,0.062946,47.660,35.223,17.117,7.887,134.000,0.238,3.000,0.280,6.120,0.571,10.71,178.963,36.508,0.005970,0.853,386.738,748.952,671.715,14908.336,1297.547,764.711,4637.733,5935.280,15657.288,1.360,3.215,0.408,0.038,2.434,0.787,1.562,-0.243,-1.201,2.127,-0.069,3.00,-0.39,-1.42,0.39
1176,Um_P_3 pool,Um,Pioneer,0,3,15.00,Moderate,Fine,0.050277,27.647,60.420,11.933,7.355,76.700,0.089,1.390,0.100,2.419,0.174,13.90,165.632,28.820,0.011920,0.612,185.784,1109.519,555.940,12958.016,1185.948,532.136,3482.401,4668.349,14067.535,1.160,3.721,0.161,0.012,1.921,0.384,1.460,-0.759,-1.299,1.885,-0.213,3.00,-0.79,-1.94,0.28
1023,Burg1_P_3 pool,Burg1,Pioneer,0,3,15.00,Medium,Medium,0.051031,19.596,30.831,49.573,7.220,70.000,0.000,1.000,0.061,1.890,0.115,16.39,152.122,28.751,0.015210,0.468,142.595,623.472,362.402,10002.713,955.594,464.267,2709.380,3664.974,10626.185,1.260,3.692,0.126,0.008,1.917,0.276,1.459,-0.939,-1.292,1.845,-0.330,2.00,-0.90,-2.11,0.28
1050,Fischa_P_3 pool,Fischa,Pioneer,0,3,15.00,Medium,Medium,0.060638,22.593,53.988,23.418,7.941,152.600,1.232,1.370,0.119,2.795,0.243,11.51,129.847,26.489,0.009480,0.175,194.543,581.645,381.006,7115.686,1465.563,426.310,1398.308,2863.871,7697.331,1.360,5.089,0.186,0.016,1.766,0.446,1.423,-0.614,-1.217,2.184,-0.757,2.00,-0.73,-1.79,0.25
1059,Grü_P_3 pool,Grü,Pioneer,0,3,15.00,Medium,Medium,0.046374,21.650,59.844,18.506,7.918,112.000,1.706,1.004,0.062,2.108,0.130,16.19,116.983,24.566,0.011650,0.172,154.182,581.451,293.853,7130.732,1028.328,294.989,1501.152,2529.480,7712.183,1.400,4.750,0.141,0.009,1.638,0.324,1.390,-0.886,-1.334,2.049,-0.764,2.00,-0.85,-2.06,0.21
1077,Lack2_P_3 pool,Lack2,Pioneer,0,3,15.00,Medium,Medium,0.060565,19.318,29.730,50.952,7.926,125.800,0.201,1.170,0.110,2.282,0.215,10.64,143.851,28.051,0.012290,0.546,165.908,269.737,400.413,3506.446,572.997,696.090,2879.536,3452.533,3776.183,1.300,1.218,0.152,0.014,1.870,0.358,1.448,-0.668,-1.218,2.100,-0.263,2.00,-0.82,-1.84,0.27
1113,Ro1_P_3 pool,Ro1,Pioneer,0,3,15.00,Medium,Medium,0.124228,12.960,42.337,44.703,6.574,112.000,0.000,1.610,0.110,3.284,0.224,14.64,169.866,34.653,0.010550,0.480,81.550,482.430,415.375,5493.743,652.914,492.052,2090.975,2743.889,5976.173,1.360,2.627,0.219,0.015,2.310,0.516,1.540,-0.650,-0.906,2.049,-0.319,2.00,-0.66,-1.82,0.36
1122,Ro2_P_3 pool,Ro2,Pioneer,0,3,15.00,Medium,Medium,0.042587,26.064,53.510,20.426,6.875,69.000,0.000,1.110,0.060,2.431,0.131,18.50,115.551,25.306,0.010410,0.391,152.680,681.131,425.728,8865.647,1039.668,520.254,3363.037,4402.705,9546.778,1.460,2.636,0.162,0.009,1.687,0.386,1.403,-0.883,-1.371,1.839,-0.408,2.00,-0.79,-2.06,0.23
1131,Sb_P_3 pool,Sb,Pioneer,0,3,15.00,Medium,Medium,0.072054,18.736,67.505,13.759,7.850,117.200,3.141,1.350,0.087,2.653,0.171,15.52,149.643,29.405,0.011080,0.116,150.024,388.461,262.130,6070.856,651.776,175.090,915.417,1567.193,6459.317,1.310,6.632,0.177,0.011,1.960,0.424,1.468,-0.767,-1.142,2.069,-0.936,2.00,-0.75,-1.94,0.29
1158,St_P_3 pool,St,Pioneer,0,3,15.00,Medium,Medium,0.082485,19.737,55.841,24.422,7.643,121.400,0.451,1.628,0.092,3.419,0.193,17.70,160.491,33.703,0.009860,0.173,169.233,638.403,332.384,6102.941,1174.146,319.086,1457.181,2631.327,6741.344,1.400,4.188,0.228,0.013,2.247,0.534,1.528,-0.714,-1.084,2.084,-0.762,2.00,-0.64,-1.89,0.35
1011,Au1_Ref_3 pool,Au1,Reference,1,3,15.00,Moderate,Coarse,0.305825,12.687,20.826,66.487,7.107,163.500,2.922,3.880,0.306,6.809,0.537,12.68,375.607,65.919,0.009680,0.753,199.888,237.968,179.270,3416.008,563.506,172.129,1537.096,2100.602,3653.976,1.170,2.222,0.454,0.036,4.395,0.833,1.819,-0.270,-0.515,2.214,-0.123,1.00,-0.34,-1.45,0.64
1020,Au2_Ref_3 pool,Au2,Reference,1,3,15.00,Moderate,Coarse,0.255012,14.117,19.201,66.682,7.284,82.100,0.000,3.600,0.289,6.156,0.494,12.46,254.094,43.450,0.007060,0.884,160.445,453.746,338.380,6025.104,1022.445,465.970,2317.619,3340.064,6478.850,1.140,2.600,0.410,0.033,2.897,0.789,1.638,-0.306,-0.593,1.914,-0.054,1.00,-0.39,-1.48,0.46
1029,Burg1_Ref_3 pool,Burg1,Reference,1,3,15.00,Moderate,Coarse,0.265771,14.298,22.362,63.341,5.979,35.800,0.000,3.800,0.244,5.187,0.333,15.57,392.032,53.512,0.010320,0.813,72.857,606.861,261.781,6175.340,929.995,284.030,2837.947,3767.942,6782.201,0.910,2.176,0.346,0.022,3.568,0.715,1.728,-0.478,-0.575,1.554,-0.090,1.00,-0.46,-1.65,0.55
1038,Burg2_Ref_3 pool,Burg2,Reference,1,3,15.00,Moderate,Coarse,0.136743,11.847,26.505,61.648,6.997,79.900,0.000,1.620,0.090,3.256,0.181,18.00,170.235,34.217,0.010510,0.435,129.529,303.012,237.435,4200.735,563.849,325.570,2046.737,2610.586,4503.747,1.340,2.052,0.217,0.012,2.281,0.513,1.534,-0.742,-0.864,1.903,-0.362,1.00,-0.66,-1.92,0.36
1047,Eis_Ref_3 pool,Eis,Reference,1,3,15.00,Moderate,Coarse,0.177534,15.152,29.276,55.572,6.205,43.300,0.000,2.690,0.173,3.753,0.241,15.55,228.358,31.856,0.008490,0.712,34.501,2109.626,346.303,9027.875,3626.797,396.271,5587.811,9214.608,11137.501,0.930,1.616,0.250,0.016,2.124,0.574,1.503,-0.618,-0.751,1.636,-0.148,1.00,-0.60,-1.79,0.33
1074,Lack1_Ref_3 pool,Lack1,Reference,1,3,15.00,Moderate,Coarse,0.147630,15.444,23.538,61.018,7.732,129.900,0.000,2.280,0.180,6.156,0.486,12.67,296.202,79.974,0.012990,0.680,140.309,450.677,445.561,4611.521,861.117,603.133,2631.509,3492.626,5062.198,1.800,1.752,0.410,0.032,5.332,0.789,1.903,-0.313,-0.831,2.114,-0.167,1.00,-0.39,-1.49,0.73
1092,Man1_Ref_3 pool,Man1,Reference,1,3,15.00,Moderate,Coarse,0.108415,17.802,24.637,57.561,7.374,95.900,0.000,1.930,0.160,3.648,0.302,12.06,213.280,40.310,0.011050,0.641,153.115,606.657,448.559,7588.815,764.268,566.465,1864.985,2629.253,8195.472,1.260,4.069,0.243,0.020,2.687,0.562,1.605,-0.520,-0.965,1.982,-0.193,1.00,-0.61,-1.69,0.43
1002,Abs_Ref_3 pool,Abs,Reference,1,3,15.00,Fine,Fine,0.121127,41.155,34.223,24.621,7.839,161.100,0.000,4.985,0.230,13.460,0.621,21.67,285.614,77.116,0.005730,0.649,276.731,550.790,344.964,7398.432,1343.623,361.789,1385.088,2728.711,7949.222,1.800,5.341,0.897,0.041,5.141,1.129,1.887,-0.207,-0.917,2.207,-0.188,3.00,-0.05,-1.38,0.71
