,Unnamed: 0.2,SITE,SYSTEM,DEPT,Clay,Silt,Sand,pH,Aggregate Stability,Bulk Density,Organic Carbon,Dissolved Org. Carbon,Carbon-to-Nitrogen,Ergosterol,Microbial Carbon,Microbial Nitrogren,Microbial Phosphorus,Manosamine,Muramic Acid,Glucosamine,Sum Aminosugars,LAP,NAG,GLU,XYL,CEL,PHO,BoundingBox,LocationBBox,BoundingBoxObjects,BoundingBoxSize
116,116,Schach2,2,20.0,-0.3090379194739979,1.864391728936694,-1.2541836532547304,0.9660144252789744,-2.037998239640276,-0.3675353441627339,-0.9691191930979998,-0.9725041420697128,0.1231839661077444,-0.3640652344280556,0.336007039098497,0.5474458685594416,0.2564924161950255,-0.499688883223647,-0.1791455742223277,-0.0477672765411645,-0.1265666586735432,1.1099338942659742,0.7745336558051619,1.7218546440246172,1.1551871666784042,0.9602356670260122,1.8956060869866365,"16.418547,47.265332,16.423879,47.266297",Schach2,"[BBox(((16.418547, 47.265332), (16.423879, 47.266297)), crs=CRS('4326'))]","(7, 2)"
117,117,St,0,20.0,-0.3873718324524194,1.1722369332659022,-0.6901478433684709,0.7223966920050137,-1.339358294099146,0.9332919975368268,-0.6305822394339125,-0.0064225478922796,-0.3361100931442634,-0.3713835539089427,0.0977312771834561,0.0256277694636007,-0.2371217618381469,-0.5773071007237657,-0.4255209271531746,-0.4650244975300507,-0.5097401257625536,-0.1592773137535985,-0.6806488153821211,-0.6731237373989728,-0.6975796708164745,-0.5529706702028694,-0.9405069207772696,"16.203482,48.403690,16.207945,48.406795",St,"[BBox(((16.203482, 48.40369), (16.207945, 48.406795)), crs=CRS('4326'))]","(5, 6)"
118,118,St,1,20.0,-0.1113240992399879,1.095210364202276,-0.7725470614992578,0.6264260698061795,-0.3774060617411873,0.6235712018940753,-0.1321066192925929,0.5970975076352416,0.0018568498176611,0.0242059632066904,0.6958570817499741,0.6720430715270698,-0.1795866144567346,-0.6748739757222056,-0.6157348685030976,-0.5478377622255916,-0.6191267774729067,-0.5338057278667205,-0.4169029759483906,-0.7367192586526928,-0.6600803942954432,-0.6837401299481144,-1.1057542724140708,"16.203482,48.403690,16.207945,48.406795",St,"[BBox(((16.203482, 48.40369), (16.207945, 48.406795)), crs=CRS('4326'))]","(5, 6)"
119,119,St,2,20.0,-0.4028043454018132,1.147093715687416,-0.6632420777767585,0.596896647591154,-0.6301925802167887,-0.2436470259056327,-0.7326214906461417,-0.7423889556030583,4.19392285336511,-0.5316665051704043,-0.5246947338080361,-0.2802627549143018,-0.219704762631792,-0.7348739314401573,-0.8898930318842969,-0.7397897763601211,-0.8836159187510726,0.1799346368014708,-0.0974077633012716,-0.0523588300339313,-0.32303996480949,-0.2259099276281383,-0.5184007268467342,"16.203482,48.403690,16.207945,48.406795",St,"[BBox(((16.203482, 48.40369), (16.207945, 48.406795)), crs=CRS('4326'))]","(5, 6)"
120,120,Ther,0,20.0,-0.7891247533702858,-1.1399927631677391,1.2654887965680024,0.8109849586500906,0.9272695793051412,0.3076559903384667,1.4002382711077892,1.0253893437217392,-1.4204988540621146,-0.3000011566841164,1.5053320017030551,1.738124674333267,-1.002915334016694,-0.6808943339003708,0.2934743549544708,0.2589277053277688,0.1489735458141001,-0.0128474858080222,-0.5343485281196118,-0.1400162269622724,-0.156436058892751,-0.1718285991922987,-0.8542066952918014,"16.254423,47.847943,16.263413,47.850924",Ther,"[BBox(((16.254423, 47.847943), (16.263413, 47.850924)), crs=CRS('4326'))]","(11, 6)"
121,121,Ther,1,20.0,-0.2137877857863421,-1.2364386233825484,1.0452217882607804,0.8460511475304321,1.2938821430691274,-0.770172378498312,2.570539163636755,1.6975575383237025,-1.4208076836357415,1.646357620600318,3.656775309629359,2.9771579592906368,-0.9114151785174578,-0.5643385301287054,1.902630753581407,2.1234684336049723,1.867542250868149,3.0613410207494742,1.3756802972987543,2.1737232415502192,2.11058159434512,1.4414050075958436,0.2870004710978536,"16.254423,47.847943,16.263413,47.850924",Ther,"[BBox(((16.254423, 47.847943), (16.263413, 47.850924)), crs=CRS('4326'))]","(11, 6)"
122,122,Ther,2,20.0,-0.5107928911065208,-1.185225582454911,1.157850805905097,0.7260878697818914,0.56900000854074,0.4625163881598438,1.007064211615419,-0.2829866188102222,-1.0137713708664786,-0.3676131175958941,0.724266040275928,0.8194300736847981,-0.0655083361259622,-0.5974681758797186,-0.365688694547953,-0.2705045597928348,-0.4414365700210772,-0.0699874214599293,-0.6196422468949695,-0.3218034913913332,-0.2215189202412591,-0.3820380089605006,-0.876671951094837,"16.254423,47.847943,16.263413,47.850924",Ther,"[BBox(((16.254423, 47.847943), (16.263413, 47.850924)), crs=CRS('4326'))]","(11, 6)"
123,123,Um,0,20.0,0.3847125930745851,1.4947351714903183,-1.3279393879690562,0.0247640921750337,0.1059751255046794,-0.5533678215483856,-0.6233275472792723,-0.4655094423458876,-0.3148122431901909,-0.4307381828942992,0.2698124320779553,0.6539631130474377,0.5563127195816601,-0.635316618108485,-0.296465981504431,0.0203882553928656,-0.1307482856605907,-1.172659764489303,-0.915108724424506,-0.892789450055613,-0.7767755260934814,-0.7692797861642894,-1.1781927765162956,"15.439643,48.236622,15.441316,48.236969",Um,"[BBox(((15.439643, 48.236622), (15.441316, 48.236969)), crs=CRS('4326'))]","(2, 1)"
124,124,Um,1,20.0,-0.0061955954670783,0.8311145762183205,-0.6261651664721812,0.6836393253477911,0.6350424047381348,-2.845301709304754,1.0867540122914126,1.703196070137399,-0.5497388527233236,1.2096716180112443,1.696770053945845,2.6842395848020253,1.817209303953165,-0.5774114428135684,0.6783360632402219,1.353873001434463,1.1080570589532464,0.0420736447047109,-0.1194358878473207,-0.2605056168218143,-0.3795613372732159,-0.2757237907351744,-0.4451773581277434,"15.439643,48.236622,15.441316,48.236969",Um,"[BBox(((15.439643, 48.236622), (15.441316, 48.236969)), crs=CRS('4326'))]","(2, 1)"
125,125,Um,2,20.0,0.0391941485017266,1.6792414382790202,-1.2915093694935753,-0.6045817187826997,-1.2161245086875103,0.4377387245084236,-1.0599968735156466,-0.6057235621326291,-0.3101989041734819,-0.0331928633479083,-0.4593520192157964,-0.5727328084912137,0.0507020802163105,-0.3818784717439906,-0.0623416559336918,0.0411355031358499,-0.0228219873073582,-1.137673111963264,-0.8793864451455468,-0.925020115313267,-0.8211394415425881,-0.8244563919134236,-0.8869307156629213,"15.439643,48.236622,15.441316,48.236969",Um,"[BBox(((15.439643, 48.236622), (15.441316, 48.236969)), crs=CRS('4326'))]","(2, 1)"
